0,8157
1,42330
2,11532
3,4924
4,2561
5,1469
6,941
7,644
8,499
9,385
10,298
11,187
12,164
13,147
14,122
15,107
16,85
17,80
18,51
19,51
20,31
21,42
22,23
23,25
24,26
25,19
26,20
27,23
28,11
29,15
30,12
31,16
32,13
33,11
34,9
35,11
36,9
37,8
38,6
39,9
40,6
41,8
42,3
43,3
44,4
45,7
46,1
47,6
48,1
49,4
50,5
51,2
53,6
54,1
55,1
56,1
57,3
58,3
59,4
60,6
61,1
62,1
63,2
64,2
65,1
66,1
67,2
68,1
69,1
70,1
71,1
72,3
76,1
78,1
79,3
81,1
82,1
83,3
85,1
89,3
91,2
92,1
94,1
95,1
97,1
98,1
99,1
101,1
103,3
105,2
106,1
111,1
113,1
116,1
118,1
123,1
132,2
133,1
143,1
152,1
167,1
182,1
202,1
210,1
227,1
264,1
308,1
368,1
512,1
